date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:00	1020/1020	---M--	200	added ('OK')	image/png	etag:%223fc-5b079fdd9e400%22	https://eres.dexignzone.com/xhtml/vendor/datatables/images/sort_desc.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/datatables/images/sort_desc.png	(from https://eres.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css)
19:10:01	1023/1023	---M--	200	added ('OK')	image/png	etag:%223ff-5b079fb960e80%22	https://eres.dexignzone.com/xhtml/vendor/datatables/images/sort_asc_disabled.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/datatables/images/sort_asc_disabled.png	(from https://eres.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css)
19:10:02	1020/1020	---M--	200	added ('OK')	image/png	etag:%223fc-5b079fafd7800%22	https://eres.dexignzone.com/xhtml/vendor/datatables/images/sort_desc_disabled.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/datatables/images/sort_desc_disabled.png	(from https://eres.dexignzone.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css)
19:10:03	237/237	---M--	302	error ('Found')	text/html	date:Sun,%2027%20Nov%202022%2013:10:03%20GMT	https://eres.dexignzone.com/xhtml/e	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/e	(from https://eres.dexignzone.com/xhtml/vendor/ckeditor/ckeditor.js)
19:10:04	1233/1233	---M--	200	added ('OK')	image/png	etag:%224d1-58dde996f0800%22	https://eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/images/transparent.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/images/transparent.png	(from https://eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/css/asColorPicker.min.css)
19:10:05	14976/14976	---M--	200	added ('OK')	image/png	etag:%223a80-58dde996f0800%22	https://eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/images/saturation.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/images/saturation.png	(from https://eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/css/asColorPicker.min.css)
19:10:06	1805/1805	---M--	200	added ('OK')	image/png	etag:%2270d-58dde996f0800%22	https://eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/images/hue.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/images/hue.png	(from https://eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/css/asColorPicker.min.css)
19:10:07	3158/3158	---M--	200	added ('OK')	image/png	etag:%22c56-58dde996f0800%22	https://eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/images/alpha.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/images/alpha.png	(from https://eres.dexignzone.com/xhtml/vendor/jquery-asColorPicker/css/asColorPicker.min.css)
19:10:08	237/237	---M--	302	error ('Found')	text/html	date:Sun,%2027%20Nov%202022%2013:10:08%20GMT	https://eres.dexignzone.com/xhtml/picker.js	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/picker.js	(from https://eres.dexignzone.com/xhtml/vendor/pickadate/picker.time.js)
19:10:09	237/237	---M--	302	error ('Found')	text/html	date:Sun,%2027%20Nov%202022%2013:10:09%20GMT	https://eres.dexignzone.com/xhtml/picker.js	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/picker.js	(from https://eres.dexignzone.com/xhtml/vendor/pickadate/picker.date.js)
19:10:11	25/25	---M--	200	added ('OK')	text/plain	etag:%225f0d5c33-19%22	https://cdn.lineicons.com/robots.txt		(from https://cdn.lineicons.com/2.0/LineIcons.css)
19:10:11	53572/53572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d144-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.eot?-i3a2kk	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.eot	(from https://eres.dexignzone.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css)
19:10:12	53572/53572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d144-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Iconsd41d.eot?	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Iconsd41dd41d.eot	(from https://eres.dexignzone.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css)
19:10:13	53368/53368	---M--	200	added ('OK')	application/x-font-ttf	etag:%22d078-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.ttf?-i3a2kk	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.ttf	(from https://eres.dexignzone.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css)
19:10:14	26384/26384	---M--	200	added ('OK')	application/font-woff2	etag:%226710-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.woff2?-i3a2kk	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.woff2	(from https://eres.dexignzone.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css)
19:10:15	53444/53444	---M--	200	added ('OK')	application/font-woff	etag:%22d0c4-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.woff?-i3a2kk	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.woff	(from https://eres.dexignzone.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css)
19:10:17	197702/197702	---M--	200	added ('OK')	image/svg+xml	etag:%2230446-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.svg?-i3a2kk	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/simple-line-icons/fonts/Simple-Line-Icons4c824c82.svg	(from https://eres.dexignzone.com/xhtml/icons/simple-line-icons/css/simple-line-icons.css)
19:10:18	104544/104544	---M--	200	added ('OK')	application/font-woff2	etag:%2219860-5d7985cb63880%22	https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-brands-400.woff2	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-brands-400.woff2	(from https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/css/all.min.css)
19:10:19	23900/23900	---M--	200	added ('OK')	application/font-woff2	etag:%225d5c-5d7985cb63880%22	https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-regular-400.woff2	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-regular-400.woff2	(from https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/css/all.min.css)
19:10:20	180148/180148	---M--	200	added ('OK')	application/x-font-ttf	etag:%222bfb4-5d7985cb63880%22	https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-brands-400.ttf	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-brands-400.ttf	(from https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/css/all.min.css)
19:10:20	60380/60380	---M--	200	added ('OK')	application/x-font-ttf	etag:%22ebdc-5d7985cb63880%22	https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-regular-400.ttf	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-regular-400.ttf	(from https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/css/all.min.css)
19:10:22	126828/126828	---M--	200	added ('OK')	application/font-woff2	etag:%221ef6c-5d7985cb63880%22	https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-solid-900.woff2	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-solid-900.woff2	(from https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/css/all.min.css)
19:10:23	4956/4956	---M--	200	added ('OK')	application/font-woff2	etag:%22135c-5d7985cb63880%22	https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-v4compatibility.woff2	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-v4compatibility.woff2	(from https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/css/all.min.css)
19:10:24	303480/303480	---M--	200	added ('OK')	application/x-font-ttf	etag:%224a178-5d7985cb63880%22	https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-solid-900.ttf	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-solid-900.ttf	(from https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/css/all.min.css)
19:10:24	10556/10556	---M--	200	added ('OK')	application/x-font-ttf	etag:%22293c-5d7985cb63880%22	https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-v4compatibility.ttf	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/fontawesome-free-6/webfonts/fa-v4compatibility.ttf	(from https://eres.dexignzone.com/xhtml/icons/fontawesome-free-6/css/all.min.css)
19:10:27	358676/358676	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257914-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont.eot?v=2.4.85	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont683c.eot	(from https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css)
19:10:27	358676/358676	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257914-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont.eot?	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfontd41d.eot	(from https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css)
19:10:28	132144/132144	---M--	200	added ('OK')	application/font-woff2	etag:%2220430-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont.woff2?v=2.4.85	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont683c.woff2	(from https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css)
19:10:30	176416/176416	---M--	200	added ('OK')	application/font-woff	etag:%222b120-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont.woff?v=2.4.85	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont683c.woff	(from https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css)
19:10:31	358456/358456	---M--	200	added ('OK')	application/x-font-ttf	etag:%2257838-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont.ttf?v=2.4.85	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont683c.ttf	(from https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css)
19:10:32	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themify9f24.eot?-fvbane	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themify9f249f24.eot	(from https://eres.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
19:10:33	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themifyd41d.eot?	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themifyd41dd41d.eot	(from https://eres.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
19:10:33	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%22db2c-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themify.woff	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themify.woff	(from https://eres.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
19:10:35	78584/78584	---M--	200	added ('OK')	application/x-font-ttf	etag:%22132f8-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themify.ttf	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themify.ttf	(from https://eres.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
19:10:37	2753099/2753099	---M--	200	added ('OK')	image/svg+xml	etag:%222a024b-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont.svg?v=2.4.85	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/material-design-iconic-font/fonts/materialdesignicons-webfont683c.svg	(from https://eres.dexignzone.com/xhtml/icons/material-design-iconic-font/css/materialdesignicons.min.css)
19:10:37	234630/234630	---M--	200	added ('OK')	image/svg+xml	etag:%2239486-58dde99508380%22	https://eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themify9f24.svg?-fvbane	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/themify-icons/fonts/themify9f249f24.svg	(from https://eres.dexignzone.com/xhtml/icons/themify-icons/css/themify-icons.css)
19:10:37	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2226264-596c0603c3900%22	https://eres.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.eot	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.eot	(from https://eres.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
19:10:39	84772/84772	---M--	200	added ('OK')	application/font-woff2	etag:%2214b24-596c0603c3900%22	https://eres.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.woff2	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.woff2	(from https://eres.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
19:10:39	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2226264-596c0603c3900%22	https://eres.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.eot?	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400d41d.eot	(from https://eres.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
